phase,elapsed_ms,raw,voltage_mv
medium,26400,1309,6363
medium,26450,1308,6363
medium,26500,1311,6375
medium,26550,1311,6375
medium,26600,1316,6398
medium,26650,1308,6363
medium,26700,1309,6363
medium,26750,1315,6392
medium,26800,1311,6375
medium,26850,1312,6381
medium,26900,1310,6369
medium,26950,1310,6369
medium,27000,1310,6369
medium,27050,1310,6369
medium,27100,1311,6375
medium,27150,1315,6392
medium,27200,1315,6392
medium,27250,1308,6363
medium,27300,1311,6375
medium,27350,1315,6392
medium,27400,1237,6016
medium,27450,1316,6398
medium,27500,1312,6381
medium,27550,1316,6398
medium,27600,1315,6392
medium,27650,1315,6392
medium,27700,1317,6404
medium,27750,1311,6375
medium,27800,1315,6392
medium,27850,1315,6392
medium,27900,1316,6398
medium,27950,1315,6392
medium,28000,1315,6392
medium,28050,1311,6375
medium,28100,1311,6375
medium,28150,1311,6375
medium,28200,1312,6381
medium,28250,1308,6363
medium,28300,1309,6363
medium,28350,1317,6404
medium,28400,1311,6375
medium,28450,1311,6375
medium,28500,1309,6363
medium,28550,1309,6363
medium,28600,1316,6398
medium,28650,1315,6392
medium,28700,1315,6392
medium,28750,1309,6363
medium,28800,1309,6363
medium,28850,1312,6381
medium,28900,1308,6363
medium,28950,1315,6392
medium,29000,1309,6363
medium,29050,1311,6375
medium,29100,1311,6375
medium,29150,1317,6404
medium,29200,1311,6375
medium,29250,1311,6375
medium,29300,1312,6381
medium,29350,1311,6375
medium,29400,1311,6375
medium,29450,1310,6369
medium,29500,1311,6375
medium,29550,1238,6022
medium,29600,1311,6375
medium,29650,1311,6375
medium,29700,1315,6392
medium,29750,1317,6404
medium,29800,1317,6404
medium,29850,1315,6392
medium,29900,1311,6375
medium,29950,1311,6375
medium,30000,1311,6375
medium,30050,1310,6369
medium,30100,1309,6363
medium,30150,1309,6363
medium,30200,1311,6375
medium,30250,1310,6369
medium,30300,1315,6392
medium,30350,1309,6363
medium,30400,1310,6369
medium,30450,1312,6381
medium,30500,1309,6363
medium,30550,1317,6404
medium,30600,1311,6375
medium,30650,1311,6375
medium,30700,1307,6357
medium,30750,1309,6363
medium,30800,1315,6392
medium,30850,1310,6369
medium,30900,1316,6398
medium,30950,1308,6363
medium,31000,1308,6363
medium,31050,1315,6392
medium,31100,1315,6392
medium,31150,1317,6404
medium,31200,1316,6398
medium,31250,1311,6375
medium,31300,1316,6398
medium,31350,1315,6392
medium,31400,1311,6375
medium,31450,1315,6392
medium,31500,1311,6375
medium,31550,1310,6369
medium,31600,1311,6375
medium,31650,1311,6375
medium,31700,1243,6046
medium,31750,1317,6404
medium,31800,1315,6392
medium,31850,1311,6375
medium,31900,1316,6398
medium,31950,1317,6404
medium,32000,1316,6398
medium,32050,1315,6392
medium,32100,1307,6357
medium,32150,1315,6392
medium,32200,1311,6375
medium,32250,1315,6392
medium,32300,1310,6369
medium,32350,1315,6392
medium,32400,1311,6375
medium,32450,1310,6369
medium,32500,1311,6375
medium,32550,1310,6369
medium,32600,1309,6363
medium,32650,1315,6392
medium,32700,1315,6392
medium,32750,1317,6404
medium,32800,1309,6363
medium,32850,1309,6363
medium,32900,1311,6375
medium,32951,1306,6351
medium,33000,1315,6392
medium,33050,1308,6363
medium,33100,1311,6375
medium,33150,1315,6392
medium,33200,1311,6375
medium,33250,1311,6375
